Unnamed: 0,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude ,color
61421,7/3/2011 19:00,brooksville,fl,us,cigar,180,3 min,Cigar-shaped with orange and green glow all thru out the shape sped along across the dusk sky at a fast speed then slowed down a bit th,7/17/2011,28.5550000,-82.3880556,orange
61432,7/3/2011 21:15,mableton,ga,us,sphere,300,4-5 minutes,Five flying red spheres above Mableton&#44 GA,7/4/2011,33.8186111,-84.5825,red
61439,7/3/2011 21:30,onalaska,wi,us,fireball,600,10 minutes,Three red objects in he sky above Onalaska Wi at 9:30 PM July 3rd 2011,7/6/2011,43.8844444,-91.235,red
61443,7/3/2011 21:45,louisville,ky,us,light,180,3 minutes,At approximately 21:45 me and a friend saw a strange orange ball in the sky making a series of irradic moves. It was hard to say how bi,7/6/2011,38.2541667,-85.7594444,orange
61448,7/3/2011 22:00,cape lookout,nc,us,rectangle,45,30-45 sec,3 vertical red lights moving together over ocean,8/7/2011,34.6052778,-76.5366667,red
61458,7/3/2011 22:10,bradenton beach,fl,us,other,2700,45 mins.,Bright white trapezoidal objects viewed ascending into clouds over Gulf of Mexico off of Anna Maria Island,7/17/2011,27.4666667,-82.7041667,white
61462,7/3/2011 22:15,williamston,mi,us,light,300,4-5 minutes,Two huge red orange orbs moving slowly and low in the sky -- one disappeared other I watched until gone from sight.,7/4/2011,42.6888889,-84.2830556,red
61465,7/3/2011 22:30,conneaut lake,pa,us,circle,60,1 min,glowing orange ball in the south sky,7/6/2011,41.6033333,-80.3055556,orange
61467,7/3/2011 22:30,waverly,ne,us,light,240,4 minutes,Very bright orange objects,7/4/2011,40.9175000,-96.5280556,orange
61468,7/3/2011 22:50,nampa,id,us,fireball,120,2 minutes x2,Two very bright red objects travelling with missile-like speed across the entire night sky NNW to SSE,7/4/2011,43.5408333,-116.5625,red
61473,7/3/2011 23:30,butte,mt,us,fireball,300,5 min,3 orange balls of light flew over butte 5 minutes apart,7/6/2011,46.0038889,-112.5338889,orange
61477,7/3/2012 01:00,egan,sd,us,light,45,45 seconds,Extremely bright white light getting bigger then&#44 smaller and zooming away,7/4/2012,43.9991667,-96.6486111,white
61478,7/3/2012 20:30,branford,ct,us,sphere,180,2-3 minutes,Bright orange orb flying W to E over L.I. Sound&#44 silent&#44 at 400-500 mph then hovers 30 sec&#44&#44 dims&#44 disappears.,8/5/2012,41.2794444,-72.8155556,orange
61480,7/3/2012 21:00,salem,mo,us,fireball,180,1 -3 minutes,Red&#44 orange glowing orb.  15 mph&#44accelerates when flashlight is shined on it,8/5/2012,37.6455556,-91.5358333,orange
61481,7/3/2012 21:00,salem,mo,us,fireball,60,1 minute,Red&#44 orange glowing orb. 15 mph&#44 accelerates when flashlight is shined on it,8/5/2012,37.6455556,-91.5358333,orange
61484,7/3/2012 21:45,iron mountain,mi,us,light,180,2-3 minutes,A slow low flying white light surrounded by a red orb hovering and turning 90* with no sound.,7/4/2012,45.8202778,-88.0658333,white
61489,7/3/2012 22:00,walled lake,mi,us,light,1800,20 - 30minutes,Bright orange lights in formation&#44 then some after&#44 one by one,7/4/2012,42.5377778,-83.4811111,orange
61496,7/3/2012 22:30,irvine,ca,us,triangle,120,2 minutes,Near 10:30pm&#44 silent&#44 triangular UFO&#44 deep orange lights&#44 white beam&#44 flies slow about 10&#44000 ft; disappeared by vertical ascent.,8/5/2012,33.6694444,-117.8222222,orange
61502,7/3/2012 23:00,ardmore,ok,us,fireball,300,5 minutes,Bright orange orb Ardmore&#44 Oklahoma.  7-3-2012,8/5/2012,34.1741667,-97.1433333,orange
61509,7/3/2013 01:20,broken arrow,ok,us,light,300,5 minutes,Two orange lights moving in line with each other then fading separately.,7/3/2013,36.0525000,-95.7905556,orange
61515,7/3/2013 10:00,anoka,mn,us,formation,30,30 seconds,3 white lights in triangular formation visible in night sky; retreated quickly at same rate of speed,8/30/2013,45.1977778,-93.3869444,white
61519,7/3/2013 21:00,black hawk,sd,,circle,2,few seconds,Two glowing orange balls following one another across the sky,7/14/2013,44.151098,-103.307962,orange
61526,7/3/2013 21:15,walla walla,wa,us,sphere,25,25 seconds,Two orange orbs seen in daylight.,7/22/2013,46.0647222,-118.3419444,orange
61528,7/3/2013 21:30,cleveland,oh,us,oval,90,90 seconds,Orange w/ white center.,7/14/2013,41.4994444,-81.6955556,white
